Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2015-10-12,193.9996337890625,196.14249187021088,193.1838179455263,193.1838179455263,6212395
2015-10-13,194.402099609375,194.98948061629167,192.0743153737164,192.54204765227283,6162561
2015-10-14,196.43618774414062,196.8821657122269,194.47824135634303,194.8807106955662,8002587
2015-10-15,196.59934997558594,198.18745853517296,195.81618011439764,197.46955161889707,9048478
2015-10-16,199.01412963867188,199.01412963867188,196.59932833156572,196.77336283217227,15246935
2015-10-19,209.60877990722656,210.04386614852453,204.71391447024746,204.71391447024746,33505855
2015-10-20,208.1294708251953,210.30496041022562,207.3245321271695,209.93512253365378,18091895
2015-10-21,207.75962829589844,212.06709873957286,207.32452748418842,207.8683998682661,14404450
2015-10-23,207.90103149414062,211.68639839325715,204.74656875970305,209.7066976857402,12153422
2015-10-26,205.1163787841797,209.49998873669685,204.77917243312552,209.2606913097946,10938775
2015-10-27,204.39845275878906,206.29113590789697,203.93072054927117,204.23529542601668,11601798
2015-10-28,203.83285522460938,205.5623812876469,202.29913251106544,203.82197806753967,11958727
2015-10-29,204.71392822265625,205.58412980818656,203.39774868759764,203.6261835018627,13280382
2015-10-30,206.1715087890625,207.95540604757522,204.51813741043736,204.95322367672935,13366359
2015-11-02,208.8038330078125,209.1736708204372,205.62761643929636,206.45429478710574,7222044
2015-11-03,210.41371154785156,211.12075575987998,209.11930088893382,209.5544016681271,11373522
2015-11-04,206.9546661376953,212.11059782763508,205.84516718093474,210.5877524205306,10033187
2015-11-05,203.75668334960938,206.88939123057492,202.9735136404864,206.45429049340134,10767454
2015-11-06,207.19400024414062,207.70524115316903,204.03953753264432,204.37672940478188,8367190
2015-11-09,209.1193084716797,209.93510975528991,200.89593103899654,203.08231217066583,17031699
2015-11-10,200.74363708496094,208.7385791542635,199.34044038485814,208.19470682838642,11486238
2015-11-13,202.9844207763672,204.18093708864063,198.94887935889057,199.06852808567012,13682323
2015-11-16,203.25633239746094,204.93145799648653,201.17873750220048,201.45068092578762,15346549
2015-11-17,201.83139038085938,204.25706890016792,201.49419852816152,204.07215723901106,8588142
2015-11-18,198.40501403808594,202.603712959465,197.95903606382055,201.79877426986616,11249222
2015-11-19,203.35421752929688,204.21354186285257,199.54711142833932,199.9060720839902,12183206
2015-11-20,205.98658752441406,207.2810127642705,201.35278797756192,203.19108558551432,11304265
2015-11-23,207.48768615722656,208.39051925807655,205.8451918373511,206.67188483706138,10499517
2015-11-24,210.52249145507812,211.3709387342408,206.90029656671246,207.32452020629378,14806176
2015-11-26,215.08013916015625,215.79806051794827,210.6421432272078,211.24040134387582,23805828
2015-11-27,212.99166870117188,215.91771089160056,211.91480117846888,215.15628090292358,10891864
2015-11-30,210.39195251464844,214.15556473077504,209.34771647690835,212.87201673484063,29919205
2015-12-01,210.13092041015625,212.93729957809435,209.1193157463871,209.7175739144434,12981379
2015-12-02,212.75238037109375,213.1330953817335,209.8263380553792,210.20705306601897,7573628
2015-12-03,212.58920288085938,215.14540727522012,211.91480465412536,212.08883915851135,11361395
2015-12-04,210.0330047607422,212.3716660944825,209.1519405337301,211.5232188157788,13443688
2015-12-07,207.1178436279297,211.67550281708432,206.61747991596715,210.03299412708,14483909
2015-12-08,204.69215393066406,207.45502409003757,203.64791793884322,206.43254240961974,7532164
2015-12-09,199.25344848632812,205.24693651180934,198.58992735923377,203.66970511387842,9174419
2015-12-10,206.74801635742188,207.49855470260297,200.14539335779605,200.68926572274665,18592203
2015-12-11,207.3136444091797,208.6298239639761,205.12727777804204,207.05259264294898,18155513
2015-12-14,207.7813720703125,209.6087924823477,205.80167146468722,206.14975500084594,10563900
2015-12-15,212.30641174316406,212.752389714258,207.46593152710506,208.19473010995588,15718833
2015-12-16,212.90464782714844,214.8408397126894,211.78427169812934,212.30638971607672,12097338
2015-12-17,219.65957641601562,220.8125986713082,212.76326981033677,213.20924778759075,19369032
2015-12-18,215.78720092773438,219.50729032796082,215.3738544338783,218.37603694010988,16016139
2015-12-21,215.83070373535156,217.3317949479828,214.1447008561946,214.91699351509973,12331769
2015-12-22,214.78643798828125,218.11493465978228,214.06851669049624,215.98295412160724,11579277
2015-12-23,218.37603759765625,219.05043586509052,215.3738550823849,215.76544726312446,12919467
2015-12-24,217.6689910888672,219.11569654566188,216.74441821582673,218.39778965691818,11901877
2015-12-28,219.8118438720703,220.54062785233356,217.5493227941755,217.6798486672547,12885935
2015-12-29,220.8996124267578,221.61751932860827,219.1048233887727,219.81186765559565,14913870
2015-12-30,218.52828979492188,221.030108237053,217.9844174833488,220.81256512131873,8151610
2015-12-31,220.72555541992188,221.83506898780294,217.35354965549845,218.2890141911541,18483713
2016-01-01,220.88873291015625,221.66102559009192,219.33325587089504,219.681324899716,5416562
2016-01-04,216.52682495117188,220.55148858260776,214.65589615409192,218.6370511644084,30170947
2016-01-05,218.66970825195312,219.72482148219984,216.89668816688226,217.61459502170638,14946239
2016-01-06,224.55442810058594,225.90323910337892,217.63635310097877,219.20270723862288,26759864
2016-01-07,220.43186950683594,223.64071787917052,219.30061616118618,222.1287495253106,19739943
2016-01-08,223.15122985839844,224.70670682915315,221.18240641188427,221.90032779668712,21313199
2016-01-11,228.77488708496094,230.77634206695305,219.94238870067335,221.019256290861,29016443
2016-01-12,227.4369354248047,231.7770366402425,226.4905938533479,229.51453021092183,23373377
2016-01-13,234.26797485351562,237.0743680654591,227.81763294597224,229.10118084316977,71802356
2016-01-14,230.96124267578125,235.170832943929,229.0903281899539,231.43985208430414,27823189
2016-01-15,233.4956817626953,237.0199819605756,231.82055617282998,232.72338916484844,28767318
2016-01-18,221.21502685546875,235.81259152606302,219.3114809661047,233.86552248994343,27254669
2016-01-19,227.03448486328125,228.38328129876885,220.61677381050242,223.8582680671483,21489315
2016-01-20,218.53916931152344,225.14179173447104,215.3738298099711,225.14179173447104,45114225
2016-01-21,214.112060546875,223.15123953316555,212.48044340867997,221.36734219496594,31768619
2016-01-22,218.4521484375,219.94236233834945,216.25490489237717,216.25490489237717,23682648
2016-01-25,218.40869140625,221.62841739441987,217.5493668566222,219.72485660418346,13099564
2016-01-27,217.40792846679688,219.72482089563758,216.88581043134448,219.31148894767648,17251028
2016-01-28,221.2259063720703,222.2919112508423,216.9184363209522,217.76688355257642,23074633
2016-01-29,225.2505645751953,226.25129196855252,221.46521264332634,221.6718786066824,19177163
2016-02-01,224.14108276367188,226.64290143839486,223.10772382338882,226.24043211463183,9918809
2016-02-02,217.7995147705078,224.68494345506824,215.48260788169645,224.14107112118202,14771279
2016-02-03,213.50291442871094,216.24404502362125,212.1106093403079,214.93874266572513,15691478
2016-02-04,211.68638610839844,217.76689092226033,210.0874005194844,214.9387430692945,18203784
2016-02-05,211.21865844726562,213.63344535697644,209.1519405567628,213.0025557374231,20998404
2016-02-08,209.07577514648438,214.2425692472094,208.40136245894087,211.26214149764155,12078110
2016-02-09,208.303466796875,210.76177654370693,206.67184991004433,207.3027394493943,19603494
2016-02-10,209.42385864257812,211.6755026052755,206.37816774865706,207.04170332666908,16883350
2016-02-11,201.1352081298828,210.14175381378436,199.16638499825606,209.46734116353142,17114833
2016-02-12,197.21932983398438,203.16930826062995,193.2055432082515,203.16930826062995,29319458
2016-02-15,205.96485900878906,206.96558661499034,199.7103187311513,199.7103187311513,19283523
2016-02-16,202.44053649902344,208.41225507443588,201.66822935439,206.91116393276806,13024856
2016-02-17,207.2375030517578,208.292616311675,199.36220912915084,203.43038197277676,15442221
2016-02-18,204.51815795898438,210.7400664589558,203.62620197899128,209.4891497509674,14433087
2016-02-19,205.44271850585938,207.27013898668895,203.91987294591445,204.49639131640026,10235503
2016-02-22,209.34771728515625,210.65301959848983,205.3883162425062,205.3883162425062,12770834
2016-02-23,206.595703125,210.4136862259796,205.09461215243658,209.52173046208617,18989787
2016-02-24,207.24838256835938,208.53191613695518,204.93147551956193,205.56237966911476,15186204
2016-02-25,205.3883056640625,208.09680455722594,204.68127602382083,207.58556371889318,24826958
2016-02-26,206.74801635742188,208.57543679788876,205.4318368113429,207.32452019293518,8349402
2016-02-29,210.2940673828125,216.37457222234073,203.40862390600347,206.95467863267334,31032353
2016-03-01,213.4811553955078,214.2969711664352,209.8589606743979,209.86983783075058,16453192
2016-03-02,217.87567138671875,218.8002587811127,214.77559449180188,216.00474228381518,20105967
2016-03-03,220.34483337402344,221.46520946693872,217.00544488466042,219.72480644837285,15880459
2016-03-04,218.941650390625,220.81257939583628,218.31076079197408,220.59502174380052,8987660
2016-03-08,223.42318725585938,224.27162005148898,219.18096518875356,219.18096518875356,13222993
2016-03-09,226.6211395263672,227.09974893166847,221.59574803182286,221.90032293419213,11854901
2016-03-10,220.1055450439453,227.534861093061,219.507286887952,226.697290961327,20706353
2016-03-11,220.7037811279297,223.97790670634856,219.8553484463068,220.79081289728362,15319044
2016-03-14,221.845947265625,223.29263818167618,220.36661035654757,221.70452970330751,11880095
2016-03-15,222.00909423828125,223.6080797988095,220.83433230039074,222.77050970995452,10487788
2016-03-16,222.28102111816406,223.16209982465202,218.73498102404608,222.11786377334704,11064129
2016-03-17,223.5187530517578,228.11672846191098,222.63875368247795,225.9387439744036,16832997
2016-03-18,225.98272705078125,226.63171956560075,223.45274005108615,224.01373557213304,14030979
2016-03-21,228.20469665527344,229.1286944078057,225.00371807790765,226.1477083021163,12708074
2016-03-22,230.52569580078125,231.4936773834885,227.8416994720033,228.1387040011352,15333442
2016-03-23,226.4227294921875,230.31669931477774,224.92673652240097,230.31669931477774,16806372
2016-03-28,224.4867401123047,226.97272868170091,223.44174641177167,226.59872676240312,18070240
2016-03-29,227.97369384765625,229.23867987184593,224.442712042949,225.23469958951466,15871250
2016-03-30,230.34970092773438,231.3836950010807,229.3927042258026,229.3927042258026,14453294
2016-03-31,229.94268798828125,232.31868018085757,227.1927085828774,229.01870489437297,30833349
2016-04-01,227.5777130126953,230.18469734061676,225.4987253247865,228.6007074205789,12381116
2016-04-04,227.70970153808594,229.28269178597583,225.56471617148574,228.79869365695234,8632568
2016-04-05,225.92770385742188,229.32667547916822,224.88271030084692,226.89570005299058,10259495
2016-04-06,227.42372131347656,228.0727138266764,224.97073168945428,227.06071902932393,6990781
2016-04-07,228.19371032714844,230.55870296419198,224.8607360725847,227.6767133028409,8789163
2016-04-08,227.99571228027344,231.97767896581948,226.86272163754285,227.8967009785937,13411752
2016-04-11,228.8647003173828,230.00870528512783,227.25871113577983,228.1387104384309,10308361
2016-04-12,230.42669677734375,232.6376947135226,228.36970826872383,228.8647060531523,11164859
2016-04-13,234.52967834472656,235.37667881126296,231.559706271038,231.559706271038,16038542
2016-04-18,234.24368286132812,234.6946821460281,232.18669436213986,234.47467497298706,19065716
2016-04-20,228.20469665527344,235.22266210219038,227.87469326201312,235.22266210219038,21687934
2016-04-21,229.0517120361328,231.4386892530528,227.69871418952044,229.106710157652,11380697
2016-04-22,228.56771850585938,230.4486983571158,226.44473222927502,228.57871813038577,11705087
2016-04-25,223.7167205810547,229.77768947295175,222.7047258284539,229.77768947295175,61157544
